ticker,company_name,board,aliases
DEAL,PT Dewata Freightinternational Tbk.,WATCHLIST,DEWATA FREIGHTINTERNATIONAL
DEFI,Danasupra Erapacific Tbk,WATCHLIST,DANASUPRA ERAPACIFIC
DEPO,PT Caturkarda Depo Bangunan Tbk,DEVELOPMENT,CATURKARDA DEPO BANGUNAN|CATURKARDA DEPO
DEWA,Darma Henwa Tbk,MAIN,DARMA HENWA
DEWI,PT Dewi Shri Farmindo Tbk,DEVELOPMENT,DEWI SHRI FARMINDO|DEWI SHRI
DFAM,PT Dafam Property Indonesia Tbk,DEVELOPMENT,DAFAM PROPERTY INDONESIA|DAFAM PROPERTY
DGIK,Nusa Konstruksi Enjiniring  Tbk,DEVELOPMENT,NUSA KONSTRUKSI ENJINIRING|NUSA KONSTRUKSI
DGNS,PT Diagnos Laboratorium Utama Tbk,DEVELOPMENT,DIAGNOS LABORATORIUM UTAMA|DIAGNOS LABORATORIUM
DGWG,PT Delta Giri Wacana Tbk,MAIN,DELTA GIRI WACANA|DELTA GIRI
DIGI,PT Arkadia Digital Media Tbk,WATCHLIST,ARKADIA DIGITAL MEDIA|ARKADIA DIGITAL
DILD,Intiland Development Tbk,MAIN,INTILAND DEVELOPMENT
DIVA,PT Distribusi Voucher Nusantara Tbk,DEVELOPMENT,DISTRIBUSI VOUCHER NUSANTARA|DISTRIBUSI VOUCHER
DKFT,Central Omega Resources Tbk,MAIN,CENTRAL OMEGA RESOURCES|CENTRAL OMEGA
DKHH,PT Cipta Sarana Medika Tbk,DEVELOPMENT,CIPTA SARANA MEDIKA|CIPTA SARANA
DLTA,Delta Djakarta Tbk,MAIN,DELTA DJAKARTA
DMAS,PT Puradelta Lestari Tbk.,MAIN,PURADELTA LESTARI
DMMX,PT Digital Mediatama Maxima Tbk,DEVELOPMENT,DIGITAL MEDIATAMA MAXIMA|DIGITAL MEDIATAMA|MEDIATAMA MAXIMA
DMND,PT Diamond Food Indonesia Tbk.,MAIN,DIAMOND FOOD INDONESIA|DIAMOND FOOD
DNAR,PT Bank Oke Indonesia Tbk.,DEVELOPMENT,BANK OKE INDONESIA|OKE INDONESIA
DNET,PT Indoritel Makmur Internasional Tbk.,MAIN,INDORITEL MAKMUR INTERNASIONAL|INDORITEL MAKMUR
DOID,PT BUMA Internasional Grup Tbk,DEVELOPMENT,BUMA INTERNASIONAL GRUP|BUMA INTERNASIONAL
DOOH,PT Era Media Sejahtera Tbk,DEVELOPMENT,ERA MEDIA SEJAHTERA|ERA MEDIA
DOSS,PT Global Sukses Digital Tbk,DEVELOPMENT,
DPNS,Duta Pertiwi Nusantara Tbk,DEVELOPMENT,DUTA PERTIWI NUSANTARA
DPUM,PT Dua Putra Utama Makmur Tbk.,DEVELOPMENT,DUA PUTRA UTAMA MAKMUR|DUA PUTRA
DRMA,PT Dharma Polimetal Tbk,MAIN,DHARMA POLIMETAL
DSFI,Dharma Samudera Fishing Ind. Tbk,DEVELOPMENT,DHARMA SAMUDERA FISHING IND|DHARMA SAMUDERA
DSNG,PT Dharma Satya Nusantara Tbk.,MAIN,DHARMA SATYA NUSANTARA|DHARMA SATYA
DSSA,Dian Swastatika Sentosa Tbk,MAIN,DIAN SWASTATIKA SENTOSA|DIAN SWASTATIKA
DUCK,PT Jaya Bersama Indo Tbk.,WATCHLIST,
DUTI,Duta Pertiwi Tbk,WATCHLIST,
DVLA,Darya-Varia Laboratoria Tbk,DEVELOPMENT,DARYA VARIA LABORATORIA|DARYA VARIA
DWGL,PT Dwi Guna Laksana Tbk,DEVELOPMENT,DWI GUNA LAKSANA|DWI GUNA
DYAN,PT Dyandra Media International Tbk.,DEVELOPMENT,DYANDRA MEDIA INTERNATIONAL|DYANDRA MEDIA
EAST,PT Eastparc Hotel Tbk,DEVELOPMENT,EASTPARC HOTEL
ECII,PT Electronic City Indonesia Tbk.,DEVELOPMENT,ELECTRONIC CITY INDONESIA|ELECTRONIC CITY
EDGE,PT Indointernet Tbk.,DEVELOPMENT,INDOINTERNET
EKAD,Ekadharma International Tbk,DEVELOPMENT,EKADHARMA INTERNATIONAL
ELIT,PT Data Sinergitama Jaya Tbk,DEVELOPMENT,DATA SINERGITAMA JAYA|DATA SINERGITAMA
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,MAIN,PELAYARAN NASIONAL EKALYA PURNAMASARI
ELSA,Elnusa Tbk,MAIN,ELNUSA
ELTY,Bakrieland Development Tbk,WATCHLIST,BAKRIELAND DEVELOPMENT
EMAS,PT Merdeka Gold Resources Tbk,DEVELOPMENT,MERDEKA GOLD RESOURCES|MERDEKA GOLD
EMDE,Megapolitan Developments Tbk,DEVELOPMENT,MEGAPOLITAN DEVELOPMENTS
EMTK,Elang Mahkota Teknologi Tbk,MAIN,ELANG MAHKOTA TEKNOLOGI|ELANG MAHKOTA
ENAK,PT Champ Resto Indonesia Tbk,DEVELOPMENT,CHAMP RESTO INDONESIA|CHAMP RESTO
ENRG,Energi Mega Persada Tbk,MAIN,
ENVY,PT Envy Technologies Indonesia Tbk,WATCHLIST,ENVY TECHNOLOGIES INDONESIA|ENVY TECHNOLOGIES
ENZO,PT Morenzo Abadi Perkasa Tbk,DEVELOPMENT,MORENZO ABADI PERKASA|MORENZO ABADI
EPAC,PT Megalestari Epack Sentosaraya Tbk.,DEVELOPMENT,MEGALESTARI EPACK SENTOSARAYA|MEGALESTARI EPACK
EPMT,Enseval Putera Megatrading Tbk,MAIN,ENSEVAL PUTERA MEGATRADING|ENSEVAL PUTERA
ERAA,Erajaya Swasembada Tbk,MAIN,ERAJAYA SWASEMBADA
ERAL,PT Sinar Eka Selaras Tbk,MAIN,SINAR EKA SELARAS|SINAR EKA
ERTX,Eratex Djaja Tbk,DEVELOPMENT,ERATEX DJAJA
ESIP,PT Sinergi Inti Plastindo Tbk.,DEVELOPMENT,SINERGI INTI PLASTINDO
ESSA,ESSA Industries Indonesia Tbk,MAIN,ESSA INDUSTRIES INDONESIA|ESSA INDUSTRIES
ESTA,PT Esta Multi Usaha Tbk.,DEVELOPMENT,ESTA MULTI USAHA|ESTA MULTI
ESTI,Ever Shine Textile Industry Tbk,DEVELOPMENT,EVER SHINE TEXTILE INDUSTRY|EVER SHINE
ETWA,Eterindo Wahanatama Tbk,WATCHLIST,ETERINDO WAHANATAMA
EURO,PT Estee Gold Feet Tbk,ACCELERATION,ESTEE GOLD FEET|ESTEE GOLD
EXCL,PT XLSMART Telecom Sejahtera Tbk,MAIN,XLSMART TELECOM SEJAHTERA|XLSMART TELECOM
FAPA,PT FAP Agri Tbk,DEVELOPMENT,FAP AGRI
FAST,PT Fast Food Indonesia Tbk,DEVELOPMENT,FAST FOOD INDONESIA|FAST FOOD
FASW,Fajar Surya Wisesa Tbk,WATCHLIST,FAJAR SURYA WISESA|FAJAR SURYA
FILM,PT MD Entertainment Tbk,MAIN,
FIMP,PT Fimperkasa Utama Tbk,WATCHLIST,FIMPERKASA UTAMA
FIRE,PT Alfa Energi Investama Tbk.,DEVELOPMENT,ALFA ENERGI INVESTAMA|ALFA ENERGI
FISH,FKS Multi Agro Tbk,MAIN,FKS MULTI AGRO|FKS MULTI
FITT,PT Hotel Fitra International Tbk,DEVELOPMENT,HOTEL FITRA INTERNATIONAL
FLMC,PT Falmaco Nonwoven Industri Tbk,ACCELERATION,FALMACO NONWOVEN INDUSTRI|FALMACO NONWOVEN
FMII,Fortune Mate Indonesia Tbk,DEVELOPMENT,FORTUNE MATE INDONESIA|FORTUNE MATE
FOLK,PT Multi Garam Utama Tbk.,DEVELOPMENT,MULTI GARAM UTAMA|GARAM UTAMA|MULTI GARAM
FOOD,PT Sentra Food Indonesia Tbk.,WATCHLIST,SENTRA FOOD INDONESIA|SENTRA FOOD
FORE,PT Fore Kopi Indonesia Tbk,DEVELOPMENT,FORE KOPI INDONESIA|FORE KOPI
FORU,Fortune Indonesia Tbk,DEVELOPMENT,FORTUNE INDONESIA
FPNI,PT Lotte Chemical Titan Tbk.,DEVELOPMENT,LOTTE CHEMICAL TITAN|LOTTE CHEMICAL
FUJI,PT Fuji Finance Indonesia Tbk.,DEVELOPMENT,FUJI FINANCE INDONESIA|FUJI FINANCE
FUTR,PT Futura Energi Global Tbk,DEVELOPMENT,FUTURA ENERGI GLOBAL|FUTURA ENERGI
FWCT,PT Wijaya Cahaya Timber Tbk,DEVELOPMENT,WIJAYA CAHAYA TIMBER|WIJAYA CAHAYA
GAMA,Aksara Global Development Tbk,WATCHLIST,AKSARA GLOBAL DEVELOPMENT|AKSARA GLOBAL
GDST,Gunawan Dianjaya Steel Tbk,DEVELOPMENT,GUNAWAN DIANJAYA STEEL|GUNAWAN DIANJAYA
GDYR,Goodyear Indonesia Tbk,DEVELOPMENT,GOODYEAR INDONESIA
GEMA,Gema Grahasarana Tbk,DEVELOPMENT,GEMA GRAHASARANA
GEMS,Golden Energy Mines Tbk,MAIN,GOLDEN ENERGY MINES|GOLDEN ENERGY
GGRM,Gudang Garam Tbk,MAIN,GUDANG GARAM
GGRP,PT Gunung Raja Paksi Tbk.,DEVELOPMENT,GUNUNG RAJA PAKSI|GUNUNG RAJA
GHON,PT Gihon Telekomunikasi Indonesia Tbk,DEVELOPMENT,GIHON TELEKOMUNIKASI INDONESIA|GIHON TELEKOMUNIKASI
GIAA,Garuda Indonesia (Persero) Tbk,DEVELOPMENT,GARUDA INDONESIA
GJTL,Gajah Tunggal Tbk,MAIN,GAJAH TUNGGAL
GLOB,PT Globe Kita Terang Tbk,WATCHLIST,GLOBE KITA TERANG|GLOBE KITA
GLVA,PT Galva Technologies Tbk,MAIN,GALVA TECHNOLOGIES
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.,DEVELOPMENT,GARUDA MAINTENANCE FACILITY AERO ASIA|GARUDA MAINTENANCE
GMTD,Gowa Makassar Tourism Development Tbk,DEVELOPMENT,GOWA MAKASSAR TOURISM DEVELOPMENT|GOWA MAKASSAR
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.,DEVELOPMENT,VISI TELEKOMUNIKASI INFRASTRUKTUR|VISI TELEKOMUNIKASI
GOLF,PT Intra GolfLink Resorts Tbk,MAIN,INTRA GOLFLINK RESORTS|INTRA GOLFLINK
GOLL,PT Golden Plantation Tbk,WATCHLIST,GOLDEN PLANTATION
GOOD,PT Garudafood Putra Putri Jaya Tbk.,MAIN,GARUDAFOOD PUTRA PUTRI JAYA|GARUDAFOOD PUTRA
GOTO,PT GoTo Gojek Tokopedia Tbk,DEVELOPMENT,GOTO GOJEK TOKOPEDIA|GOTO GOJEK
GPRA,Perdana Gapura Prima Tbk,DEVELOPMENT,PERDANA GAPURA PRIMA|PERDANA GAPURA
GPSO,PT Geoprima Solusi Tbk,DEVELOPMENT,GEOPRIMA SOLUSI
GRIA,PT Ingria Pratama Capitalindo Tbk,DEVELOPMENT,INGRIA PRATAMA CAPITALINDO|INGRIA PRATAMA
GRPH,PT Griptha Putra Persada Tbk.,DEVELOPMENT,GRIPTHA PUTRA PERSADA|GRIPTHA PUTRA
GRPM,PT Graha Prima Mentari Tbk.,ACCELERATION,GRAHA PRIMA MENTARI|GRAHA PRIMA
GSMF,Equity Development Investment Tbk,DEVELOPMENT,EQUITY DEVELOPMENT INVESTMENT|EQUITY DEVELOPMENT
GTBO,Garda Tujuh Buana Tbk,DEVELOPMENT,GARDA TUJUH BUANA|GARDA TUJUH
GTRA,PT Grahaprima Suksesmandiri Tbk,DEVELOPMENT,GRAHAPRIMA SUKSESMANDIRI
GTSI,PT GTS Internasional Tbk,DEVELOPMENT,GTS INTERNASIONAL
GULA,PT Aman Agrindo Tbk,DEVELOPMENT,AMAN AGRINDO
GUNA,PT Gunanusa Eramandiri Tbk,DEVELOPMENT,GUNANUSA ERAMANDIRI
GWSA,PT Greenwood Sejahtera Tbk,DEVELOPMENT,GREENWOOD SEJAHTERA
GZCO,Gozco Plantations Tbk,MAIN,GOZCO PLANTATIONS
HADE,PT Himalaya Energi Perkasa Tbk,WATCHLIST,HIMALAYA ENERGI PERKASA|HIMALAYA ENERGI
HAIS,PT Hasnur Internasional Shipping Tbk,DEVELOPMENT,HASNUR INTERNASIONAL SHIPPING|HASNUR INTERNASIONAL
HAJJ,PT Arsy Buana Travelindo Tbk,ACCELERATION,ARSY BUANA TRAVELINDO|ARSY BUANA
HALO,PT Haloni Jane Tbk,DEVELOPMENT,HALONI JANE
HATM,PT Habco Trans Maritima Tbk,MAIN,HABCO TRANS MARITIMA|HABCO TRANS
HBAT,PT Minahasa Membangun Hebat Tbk,ACCELERATION,MINAHASA MEMBANGUN HEBAT|MINAHASA MEMBANGUN
HDFA,Radana Bhaskara Finance Tbk,DEVELOPMENT,RADANA BHASKARA FINANCE|RADANA BHASKARA
HDIT,PT Hensel Davest Indonesia Tbk,DEVELOPMENT,HENSEL DAVEST INDONESIA|HENSEL DAVEST
HEAL,PT Medikaloka Hermina Tbk.,MAIN,MEDIKALOKA HERMINA
HELI,PT Jaya Trishindo Tbk,DEVELOPMENT,JAYA TRISHINDO
HERO,PT DFI Retail Nusantara Tbk,MAIN,DFI RETAIL NUSANTARA|DFI RETAIL
HEXA,Hexindo Adiperkasa Tbk,MAIN,HEXINDO ADIPERKASA
HGII,PT Hero Global Investment Tbk,DEVELOPMENT,HERO GLOBAL INVESTMENT|HERO GLOBAL
HILL,PT Hillcon Tbk,WATCHLIST,HILLCON
HITS,Humpuss Intermoda Transportasi Tbk,WATCHLIST,HUMPUSS INTERMODA TRANSPORTASI|HUMPUSS INTERMODA
HKMU,PT HK Metals Utama Tbk,WATCHLIST,HK METALS UTAMA
HMSP,HM Sampoerna Tbk,MAIN,
HOKI,PT Buyung Poetra Sembada Tbk.,DEVELOPMENT,BUYUNG POETRA SEMBADA|BUYUNG POETRA
HOME,Hotel Mandarine Regency Tbk,WATCHLIST,HOTEL MANDARINE REGENCY
HOMI,PT Grand House Mulia Tbk,DEVELOPMENT,GRAND HOUSE MULIA|GRAND HOUSE
HOPE,PT Harapan Duta Pertiwi Tbk.,DEVELOPMENT,HARAPAN DUTA PERTIWI|HARAPAN DUTA
HOTL,Saraswati Griya Lestari Tbk,WATCHLIST,SARASWATI GRIYA LESTARI|SARASWATI GRIYA
HRME,PT Menteng Heritage Realty Tbk.,WATCHLIST,MENTENG HERITAGE REALTY|MENTENG HERITAGE
HRTA,PT Hartadinata Abadi Tbk,MAIN,HARTADINATA ABADI
HRUM,Harum Energy Tbk,MAIN,HARUM ENERGY
HUMI,PT Humpuss Maritim Internasional Tbk,DEVELOPMENT,HUMPUSS MARITIM INTERNASIONAL|HUMPUSS MARITIM
HYGN,PT Ecocare Indo Pasifik Tbk.,DEVELOPMENT,ECOCARE INDO PASIFIK|ECOCARE INDO
IATA,PT MNC Energy Investments Tbk,DEVELOPMENT,MNC ENERGY INVESTMENTS|ENERGY INVESTMENTS
IBFN,PT Intan Baru Prana Tbk,WATCHLIST,INTAN BARU PRANA|INTAN BARU
IBOS,PT Indo Boga Sukses Tbk,ACCELERATION,INDO BOGA SUKSES|BOGA SUKSES|INDO BOGA
IBST,Inti Bangun Sejahtera Tbk,WATCHLIST,
ICBP,Indofood CBP Sukses Makmur Tbk,MAIN,INDOFOOD CBP SUKSES MAKMUR|INDOFOOD CBP
ICON,Island Concepts Indonesia Tbk,DEVELOPMENT,ISLAND CONCEPTS INDONESIA|ISLAND CONCEPTS
IDEA,PT Idea Indonesia Akademi Tbk,ACCELERATION,IDEA INDONESIA AKADEMI|IDEA INDONESIA
IDPR,PT Indonesia Pondasi Raya Tbk.,DEVELOPMENT,INDONESIA PONDASI RAYA|INDONESIA PONDASI|PONDASI RAYA
IFII,PT Indonesia Fibreboard Industry Tbk,DEVELOPMENT,INDONESIA FIBREBOARD INDUSTRY|INDONESIA FIBREBOARD|FIBREBOARD INDUSTRY
IFSH,PT Ifishdeco Tbk.,WATCHLIST,IFISHDECO
IGAR,Champion Pacific Indonesia Tbk,DEVELOPMENT,CHAMPION PACIFIC INDONESIA|CHAMPION PACIFIC
IHSG,Indeks Harga Saham Gabungan,INDEX,INDEKS HARGA SAHAM GABUNGAN|COMPOSITE INDEX
IIKP,Inti Agri Resources Tbk,WATCHLIST,INTI AGRI RESOURCES|AGRI RESOURCES|INTI AGRI
IKAI,Intikeramik Alamasri Industri Tbk,WATCHLIST,INTIKERAMIK ALAMASRI INDUSTRI|INTIKERAMIK ALAMASRI
IKAN,PT Era Mandiri Cemerlang Tbk,DEVELOPMENT,ERA MANDIRI CEMERLANG|ERA MANDIRI
IKBI,Sumi Indo Kabel Tbk,DEVELOPMENT,SUMI INDO KABEL|SUMI INDO
IKPM,PT Ikapharmindo Putramas Tbk.,DEVELOPMENT,IKAPHARMINDO PUTRAMAS
IMAS,Indomobil Sukses Internasional Tbk,MAIN,INDOMOBIL SUKSES INTERNASIONAL|INDOMOBIL SUKSES
IMJS,PT Indomobil Multi Jasa Tbk.,DEVELOPMENT,INDOMOBIL MULTI JASA|INDOMOBIL MULTI
IMPC,PT Impack Pratama Industri Tbk,MAIN,IMPACK PRATAMA INDUSTRI|IMPACK PRATAMA
INAF,Indofarma Tbk.,WATCHLIST,INDOFARMA
INAI,Indal Aluminium Industry Tbk,DEVELOPMENT,INDAL ALUMINIUM INDUSTRY|INDAL ALUMINIUM
INCF,PT Indo Komoditi Korpora Tbk,DEVELOPMENT,INDO KOMODITI KORPORA|KOMODITI KORPORA|INDO KOMODITI
INCI,Intanwijaya Internasional Tbk,DEVELOPMENT,INTANWIJAYA INTERNASIONAL
INCO,Vale Indonesia Tbk,MAIN,VALE INDONESIA
INDF,Indofood Sukses Makmur Tbk,MAIN,INDOFOOD SUKSES MAKMUR|INDOFOOD SUKSES
INDO,PT Royalindo Investa Wijaya Tbk,DEVELOPMENT,ROYALINDO INVESTA WIJAYA|ROYALINDO INVESTA
INDR,PT Indo-Rama Synthetics Tbk,DEVELOPMENT,INDO RAMA SYNTHETICS|RAMA SYNTHETICS|INDO RAMA
INDS,Indospring Tbk,DEVELOPMENT,INDOSPRING
INDX,Tanah Laut Tbk,DEVELOPMENT,TANAH LAUT
INDY,Indika Energy Tbk,MAIN,INDIKA ENERGY
INET,PT Sinergi Inti Andalan Prima Tbk.,DEVELOPMENT,SINERGI INTI ANDALAN PRIMA
INKP,Indah Kiat Pulp & Paper Tbk,MAIN,INDAH KIAT PULP PAPER|KIAT PULP PAPER|INDAH KIAT
INOV,PT Inocycle Technology Group Tbk.,DEVELOPMENT,INOCYCLE TECHNOLOGY GROUP|INOCYCLE TECHNOLOGY
INPC,Bank Artha Graha Internasional Tbk,MAIN,BANK ARTHA GRAHA INTERNASIONAL|ARTHA GRAHA INTERNASIONAL
INPP,Indonesian Paradise Property Tbk,DEVELOPMENT,INDONESIAN PARADISE PROPERTY|INDONESIAN PARADISE
INPS,PT Indah Prakasa Sentosa Tbk.,WATCHLIST,INDAH PRAKASA SENTOSA|PRAKASA SENTOSA|INDAH PRAKASA
INRU,Toba Pulp Lestari Tbk,WATCHLIST,TOBA PULP LESTARI|TOBA PULP
INTA,Intraco Penta Tbk,WATCHLIST,INTRACO PENTA
INTD,Inter-Delta Tbk,DEVELOPMENT,INTER DELTA
INTP,Indocement Tunggal Prakarsa Tbk,MAIN,INDOCEMENT TUNGGAL PRAKARSA|INDOCEMENT TUNGGAL
IOTF,PT Sumber Sinergi Makmur Tbk,DEVELOPMENT,SUMBER SINERGI MAKMUR|SINERGI MAKMUR|SUMBER SINERGI
IPAC,PT Era Graharealty Tbk,ACCELERATION,ERA GRAHAREALTY
IPCC,PT Indonesia Kendaraan Terminal Tbk.,MAIN,INDONESIA KENDARAAN TERMINAL|INDONESIA KENDARAAN|KENDARAAN TERMINAL
IPCM,PT Jasa Armada Indonesia Tbk.,MAIN,JASA ARMADA INDONESIA|JASA ARMADA
IPOL,Indopoly Swakarsa Industry Tbk,DEVELOPMENT,INDOPOLY SWAKARSA INDUSTRY|INDOPOLY SWAKARSA
IPPE,PT Indo Pureco Pratama Tbk,WATCHLIST,INDO PURECO PRATAMA|PURECO PRATAMA|INDO PURECO
IPTV,PT MNC Vision Networks Tbk.,WATCHLIST,MNC VISION NETWORKS|VISION NETWORKS|MNC VISION
IRRA,PT Itama Ranoraya Tbk.,DEVELOPMENT,ITAMA RANORAYA
IRSX,PT Folago Global Nusantara Tbk,DEVELOPMENT,FOLAGO GLOBAL NUSANTARA|FOLAGO GLOBAL
ISAP,PT Isra Presisi Indonesia Tbk,ACCELERATION,ISRA PRESISI INDONESIA|ISRA PRESISI
ISAT,PT Indosat Tbk,MAIN,INDOSAT
ISEA,PT Indo American Seafoods Tbk,DEVELOPMENT,INDO AMERICAN SEAFOODS|AMERICAN SEAFOODS|INDO AMERICAN
ISSP,PT Steel Pipe Industry of Indonesia Tbk,MAIN,STEEL PIPE INDUSTRY OF INDONESIA|STEEL PIPE
ITIC,PT Indonesian Tobacco Tbk.,DEVELOPMENT,INDONESIAN TOBACCO
ITMA,SUMBER ENERGI ANDALAN Tbk,DEVELOPMENT,SUMBER ENERGI ANDALAN|ENERGI ANDALAN
ITMG,Indo Tambangraya Megah Tbk,MAIN,INDO TAMBANGRAYA MEGAH|TAMBANGRAYA MEGAH|INDO TAMBANGRAYA
JARR,PT Jhonlin Agro Raya Tbk,MAIN,JHONLIN AGRO RAYA|JHONLIN AGRO
JAST,PT Jasnita Telekomindo Tbk.,DEVELOPMENT,JASNITA TELEKOMINDO
JATI,PT Informasi Teknologi Indonesia Tbk.,DEVELOPMENT,INFORMASI TEKNOLOGI INDONESIA|INFORMASI TEKNOLOGI
JAWA,Jaya Agra Wattie Tbk,DEVELOPMENT,JAYA AGRA WATTIE|AGRA WATTIE|JAYA AGRA
JAYA,PT Armada Berjaya Trans Tbk.,DEVELOPMENT,ARMADA BERJAYA TRANS|ARMADA BERJAYA
JECC,Jembo Cable Company Tbk,DEVELOPMENT,JEMBO CABLE COMPANY|JEMBO CABLE
JGLE,PT Graha Andrasentra Propertindo Tbk.,DEVELOPMENT,GRAHA ANDRASENTRA PROPERTINDO|GRAHA ANDRASENTRA
JIHD,Jakarta International Hotels & Development Tbk,MAIN,JAKARTA INTERNATIONAL HOTELS DEVELOPMENT|JAKARTA INTERNATIONAL
JKON,Jaya Konstruksi Manggala Pratama Tbk,MAIN,JAYA KONSTRUKSI MANGGALA PRATAMA|KONSTRUKSI MANGGALA PRATAMA|JAYA KONSTRUKSI
JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,DEVELOPMENT,ASURANSI JIWA SYARIAH JASA MITRA ABADI|JIWA SYARIAH JASA MITRA ABADI
JPFA,JAPFA Comfeed Indonesia Tbk,MAIN,JAPFA COMFEED INDONESIA|JAPFA COMFEED
JRPT,Jaya Real Property Tbk,MAIN,JAYA REAL PROPERTY|REAL PROPERTY|JAYA REAL
JSKY,PT Sky Energy Indonesia Tbk.,WATCHLIST,SKY ENERGY INDONESIA|SKY ENERGY
JSMR,PT Jasa Marga Tbk,MAIN,JASA MARGA
JSPT,Jakarta Setiabudi Internasional Tbk,MAIN,JAKARTA SETIABUDI INTERNASIONAL|JAKARTA SETIABUDI
JTPE,Jasuindo Tiga Perkasa Tbk,MAIN,JASUINDO TIGA PERKASA|JASUINDO TIGA
KAEF,Kimia Farma Tbk.,DEVELOPMENT,KIMIA FARMA
KAQI,PT Jantra Grupo Indonesia Tbk,DEVELOPMENT,JANTRA GRUPO INDONESIA|JANTRA GRUPO
KARW,Meratus Jasa Prima Tbk,WATCHLIST,MERATUS JASA PRIMA|MERATUS JASA
KAYU,PT Darmi Bersaudara Tbk.,WATCHLIST,DARMI BERSAUDARA
KBAG,PT Karya Bersama Anugerah Tbk,WATCHLIST,KARYA BERSAMA ANUGERAH|BERSAMA ANUGERAH
KBLI,KMI Wire and Cable Tbk,MAIN,KMI WIRE AND CABLE|KMI WIRE
KBLM,Kabelindo Murni Tbk,DEVELOPMENT,KABELINDO MURNI
KBLV,First Media Tbk,DEVELOPMENT,FIRST MEDIA
KBRI,Kertas Basuki Rachmat Indonesia Tbk,WATCHLIST,KERTAS BASUKI RACHMAT INDONESIA|KERTAS BASUKI
KDSI,Kedawung Setia Industrial Tbk,DEVELOPMENT,KEDAWUNG SETIA INDUSTRIAL|KEDAWUNG SETIA
KDTN,PT Puri Sentul Permai Tbk,DEVELOPMENT,PURI SENTUL PERMAI|PURI SENTUL
KEEN,PT Kencana Energi Lestari Tbk.,MAIN,KENCANA ENERGI LESTARI|KENCANA ENERGI
KEJU,PT Mulia Boga Raya Tbk,MAIN,MULIA BOGA RAYA|MULIA BOGA
KETR,PT Ketrosden Triasmitra Tbk,DEVELOPMENT,KETROSDEN TRIASMITRA
KIAS,Keramika Indonesia Assosiasi Tbk,WATCHLIST,KERAMIKA INDONESIA ASSOSIASI|KERAMIKA INDONESIA
KICI,Kedaung Indah Can Tbk,DEVELOPMENT,KEDAUNG INDAH CAN|KEDAUNG INDAH
KIJA,Kawasan Industri Jababeka Tbk,MAIN,KAWASAN INDUSTRI JABABEKA|KAWASAN INDUSTRI
KING,PT Hoffmen Cleanindo Tbk,ACCELERATION,HOFFMEN CLEANINDO
KINO,PT Kino Indonesia Tbk,DEVELOPMENT,KINO INDONESIA
KIOS,PT Kioson Komersial Indonesia Tbk.,DEVELOPMENT,KIOSON KOMERSIAL INDONESIA|KIOSON KOMERSIAL
KJEN,PT Krida Jaringan Nusantara Tbk.,DEVELOPMENT,KRIDA JARINGAN NUSANTARA|KRIDA JARINGAN
KKES,PT Kusuma Kemindo Sentosa Tbk,WATCHLIST,KUSUMA KEMINDO SENTOSA|KUSUMA KEMINDO
KKGI,Resource Alam Indonesia Tbk,MAIN,RESOURCE ALAM INDONESIA|RESOURCE ALAM
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,DEVELOPMENT,PELAYARAN KURNIA LAUTAN SEMESTA|PELAYARAN KURNIA
KLBF,Kalbe Farma Tbk,MAIN,KALBE FARMA
KLIN,PT Klinko Karya Imaji Tbk,ACCELERATION,KLINKO KARYA IMAJI|KLINKO KARYA
KMDS,PT Kurniamitra Duta Sentosa Tbk.,DEVELOPMENT,KURNIAMITRA DUTA SENTOSA|KURNIAMITRA DUTA
KMTR,PT Kirana Megatara Tbk.,DEVELOPMENT,KIRANA MEGATARA
KOBX,Kobexindo Tractors Tbk,DEVELOPMENT,KOBEXINDO TRACTORS
KOCI,PT Kokoh Exa Nusantara,DEVELOPMENT,KOKOH EXA NUSANTARA|KOKOH EXA
KOIN,Kokoh Inti Arebama Tbk,WATCHLIST,KOKOH INTI AREBAMA|KOKOH INTI
KOKA,PT Koka Indonesia Tbk.,DEVELOPMENT,KOKA INDONESIA
KONI,Perdana Bangun Pusaka Tbk,DEVELOPMENT,PERDANA BANGUN PUSAKA|PERDANA BANGUN
KOPI,PT Mitra Energi Persada Tbk,DEVELOPMENT,
KOTA,PT DMS Propertindo Tbk.,MAIN,DMS PROPERTINDO
KPIG,MNC Tourism Indonesia Tbk,MAIN,MNC TOURISM INDONESIA|TOURISM INDONESIA|MNC TOURISM
KRAS,Krakatau Steel (Persero) Tbk,DEVELOPMENT,KRAKATAU STEEL
KREN,PT Quantum Clovera Investama Tbk.,WATCHLIST,QUANTUM CLOVERA INVESTAMA|QUANTUM CLOVERA
KRYA,PT Bangun Karya Perkasa Jaya Tbk,DEVELOPMENT,
KSIX,PT Kentanix Supra International Tbk,DEVELOPMENT,KENTANIX SUPRA INTERNATIONAL|KENTANIX SUPRA
KUAS,PT Ace Oldfields Tbk,DEVELOPMENT,ACE OLDFIELDS
LABA,PT Green Power Group Tbk,DEVELOPMENT,GREEN POWER GROUP|GREEN POWER
